step,energy
106,-546.3460385574032
107,-546.3460501583287
108,-546.3460612544429
109,-546.3460718696394
110,-546.3460820265624
111,-546.3460917466819
112,-546.3461010503573
113,-546.3461099569014
114,-546.3461184846399
115,-546.3461266509673
116,-546.3461344723999
117,-546.3461419646243
118,-546.3461491425408
119,-546.3461560203131
120,-546.3461626114017
121,-546.3461689286077
122,-546.3461749841043
123,-546.3461807894746
124,-546.3461863557412
125,-546.3461916933959
126,-546.3461968124313
127,-546.346201722361
128,-546.3462064322493
129,-546.3462109507346
130,-546.3462152860495
131,-546.3462194460453
132,-546.3462234382049
133,-546.3462272696687
134,-546.3462309472502
135,-546.3462344774474
136,-546.3462378664658
137,-546.346241120232
138,-546.3462442443995
139,-546.3462472443745
140,-546.3462501253164
141,-546.3462528921608
142,-546.3462555496176
143,-546.3462581021973
144,-546.3462605542055
145,-546.3462629097642
146,-546.3462651728121
147,-546.3462673471221
148,-546.3462694363001
149,-546.3462714437973
150,-546.3462733729194
151,-546.3462752268273
152,-546.3462770085504
153,-546.3462787209888
154,-546.3462803669186
155,-546.3462819490022
156,-546.3462834697866
157,-546.3462849317154
158,-546.3462863371277
159,-546.3462876882672
160,-546.3462889872837
161,-546.3462902362365
162,-546.3462914371056
163,-546.3462925917826
164,-546.3462937020867
165,-546.3462947697614
166,-546.3462957964763
167,-546.3462967838375
168,-546.346297733383
169,-546.346298646591
170,-546.3462995248761
171,-546.3463003696005
172,-546.3463011820685
173,-546.3463019635337
174,-546.3463027151976
175,-546.3463034382179
176,-546.346304133701
177,-546.3463048027118
178,-546.3463054462737
179,-546.3463060653664
180,-546.346306660937
181,-546.3463072338884
182,-546.3463077850911
183,-546.3463083153813
184,-546.346308825563
185,-546.3463093164067
186,-546.3463097886541
187,-546.3463102430173
188,-546.3463106801805
189,-546.3463111008035
190,-546.3463115055148
191,-546.3463118949254
192,-546.3463122696177
193,-546.3463126301529
194,-546.3463129770723
195,-546.3463133108937
196,-546.3463136321142
197,-546.3463139412142
198,-546.3463142386553
199,-546.34631452488
200,-546.3463148003129
201,-546.3463150653678
202,-546.3463153204344
203,-546.3463155658917
204,-546.3463158021067
205,-546.3463160294275
206,-546.3463162481906
207,-546.3463164587218
208,-546.346316661332
209,-546.34631685632
210,-546.3463170439737
211,-546.3463172245728
212,-546.3463173983814
213,-546.3463175656561
214,-546.3463177266459
215,-546.346317881586
216,-546.3463180307051
217,-546.3463181742219
218,-546.3463183123498
219,-546.3463184452896
220,-546.346318573239
221,-546.3463186963849
222,-546.3463188149086
223,-546.3463189289836
224,-546.3463190387785
225,-546.3463191444524
226,-546.3463192461631
227,-546.3463193440579
228,-546.3463194382805
229,-546.346319528971
230,-546.3463196162586
231,-546.3463197002734
232,-546.3463197811382
233,-546.3463198589727
234,-546.3463199338886
235,-546.3463200059956
236,-546.3463200754013
237,-546.3463201422056
238,-546.346320206506
239,-546.3463202683985
240,-546.3463203279703
241,-546.3463203853103
242,-546.3463204405027
243,-546.3463204936282
244,-546.3463205447638
245,-546.3463205939829
246,-546.3463206413593
247,-546.346320686961
248,-546.3463207308548
249,-546.3463207731058
250,-546.3463208137744
251,-546.3463208529209
252,-546.3463208906011
253,-546.3463209268699
254,-546.3463209617818
255,-546.3463209953866
256,-546.3463210277325
257,-546.3463210588691
258,-546.3463210888391
259,-546.3463211176884
260,-546.3463211454571
261,-546.3463211721864
262,-546.346321197915
263,-546.3463212226814
264,-546.3463212465214
265,-546.3463212694679
266,-546.346321291557
267,-546.3463213128194
268,-546.3463213332851
269,-546.3463213529869
270,-546.3463213719511
271,-546.346321390206
272,-546.3463214077756
273,-546.3463214246897
274,-546.3463214409708
275,-546.3463214566427
276,-546.3463214717283
277,-546.3463214862496
278,-546.3463215002281
279,-546.3463215136825
280,-546.346321526634
281,-546.3463215391021
282,-546.3463215511035
283,-546.3463215626556
284,-546.3463215737746
285,-546.3463215844797
286,-546.3463215947824
287,-546.3463216047014
288,-546.3463216142485
289,-546.3463216234392
290,-546.3463216322849
291,-546.3463216408007
292,-546.3463216489982
